var1,var2,abs_diff,corr_target0,corr_target1
AMT_INCOME_TOTAL,AMT_ANNUITY,0.37253182933207907,0.4189528858429806,0.046421056510901545
AMT_INCOME_TOTAL,AMT_GOODS_PRICE,0.31187881246973875,0.3494618939865919,0.037583081516853155
AMT_INCOME_TOTAL,AMT_CREDIT,0.30466801524482473,0.3427994498748986,0.03813143463007386
AMT_INCOME_TOTAL,ANNUITY_INCOME_RATIO,0.26154263118324617,-0.3215852037679692,-0.060042572584722995
AMT_INCOME_TOTAL,CREDIT_INCOME_RATIO,0.1829564950791266,-0.22680975600821474,-0.04385326092908815
AMT_INCOME_TOTAL,REGION_RATING_CLIENT,0.16508716110823896,-0.18657341821593312,-0.02148625710769417
AMT_INCOME_TOTAL,REGION_POPULATION_RELATIVE,0.15871605001159475,0.16785063606273198,0.009134586051137239
AMT_INCOME_TOTAL,EXT_SOURCE_2,0.1324445191143971,0.1395981862654123,0.007153667151015187
REGION_RATING_CLIENT,REGION_POPULATION_RELATIVE,0.09576927349876341,-0.5390047827622472,-0.44323550926348376
AMT_GOODS_PRICE,YEARS_BIRTH,0.09126602121047966,0.04456567486022988,0.13583169607070955
AMT_CREDIT,YEARS_BIRTH,0.08795685400836609,0.04737869327048073,0.1353355472788468
CNT_FAM_MEMBERS,YEARS_BIRTH,0.08257624280681627,-0.2858272580100626,-0.20325101520324632
CNT_CHILDREN,YEARS_BIRTH,0.07786429867537481,-0.3369678460796084,-0.2591035474042336
AMT_INCOME_TOTAL,YEARS_BIRTH,0.059528703368076176,-0.06260435180278293,-0.0030756484347067496
AMT_ANNUITY,REGION_RATING_CLIENT,0.05834470083069579,-0.13212843537937896,-0.07378373454868317
AMT_INCOME_TOTAL,EXT_SOURCE_3,0.05729146793374079,-0.07240136837044091,-0.01510990043670012
AMT_ANNUITY,REGION_POPULATION_RELATIVE,0.049298231944879284,0.12098848190847827,0.07169024996359899
YEARS_BIRTH,YEARS_EMPLOYED,0.045642801889056006,0.3526619417723918,0.3070191398833358
AMT_CREDIT,REGION_RATING_CLIENT,0.04414398948219569,-0.10333674368186156,-0.059192754199665874
ANNUITY_INCOME_RATIO,CNT_CHILDREN,0.04172228830833433,-0.006099630195296981,0.035622658113037345
AMT_CREDIT,EXT_SOURCE_3,0.0416130229479208,0.03608544431083628,0.07769846725875708
REGION_RATING_CLIENT,EXT_SOURCE_2,0.04110513863571874,-0.29162404566752587,-0.2505189070318071
CREDIT_INCOME_RATIO,YEARS_BIRTH,0.04057714589078994,0.11865521172959147,0.1592323576203814
AMT_GOODS_PRICE,EXT_SOURCE_3,0.039845341487253744,0.03890817948800403,0.07875352097525777
EXT_SOURCE_2,OBS_30_CNT_SOCIAL_CIRCLE,0.039074597107909115,-0.02156927078317043,0.017505326324738682
