,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,CNT_CHILDREN,CNT_FAM_MEMBERS,YEARS_BIRTH,YEARS_EMPLOYED,REGION_RATING_CLIENT,REGION_POPULATION_RELATIVE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE
AMT_INCOME_TOTAL,1.0,0.3427994498748986,0.4189528858429806,0.3494618939865919,-0.22680975600821474,-0.3215852037679692,0.027397187930142647,0.03425595833649713,-0.06260435180278293,0.03010409732420654,-0.18657341821593312,0.16785063606273198,0.1395981862654123,-0.07240136837044091,-0.02782840756571554,-0.027621354726475884
AMT_CREDIT,0.3427994498748986,1.0,0.771308946267877,0.9872504572019729,0.6521301266390074,0.3754303065782787,0.0030812246529976295,0.06453597508600539,0.04737869327048073,0.08750399034231442,-0.10333674368186156,0.10060379850704662,0.12913958233319275,0.03608544431083628,-0.0009136916315498107,-0.019850653233233928
AMT_ANNUITY,0.4189528858429806,0.771308946267877,1.0,0.7766857795023963,0.3941505587842086,0.4853101295410282,0.02090531799036236,0.075787127443862,-0.012262457549857587,0.05247034369787373,-0.13212843537937896,0.12098848190847827,0.12661536509607824,0.028051019216073454,-0.01309081245917153,-0.022534807379248054
AMT_GOODS_PRICE,0.3494618939865919,0.9872504572019729,0.7766857795023963,1.0,0.632093542654973,0.37013087402511047,-0.0005248742746415509,0.06281423807050054,0.04456567486022988,0.08864400438538143,-0.10438176363291911,0.10382722836281096,0.1356938478019357,0.03890817948800403,-0.0007071015021032888,-0.021024850577909808
CREDIT_INCOME_RATIO,-0.22680975600821474,0.6521301266390074,0.3941505587842086,0.632093542654973,1.0,0.7875482177732851,-0.017588399284411135,0.04804665349944364,0.11865521172959147,0.06931031269167912,0.061144594209177054,-0.032811984955632534,0.0013637841504425823,0.0910991410476004,0.018823380776557198,0.005588747701248075
ANNUITY_INCOME_RATIO,-0.3215852037679692,0.3754303065782787,0.4853101295410282,0.37013087402511047,0.7875482177732851,1.0,-0.006099630195296981,0.05488572536893884,0.08559966820409332,0.0255837060963435,0.07874845029683358,-0.0516708396073734,-0.03434850499053285,0.10703323363646494,0.014112408618154342,0.009651120948551164
CNT_CHILDREN,0.027397187930142647,0.0030812246529976295,0.02090531799036236,-0.0005248742746415509,-0.017588399284411135,-0.006099630195296981,1.0,0.8785713678490931,-0.3369678460796084,-0.06305236490422315,0.022842107217970264,-0.024362658431285843,-0.01545456422871573,-0.04172942042558979,0.014471186520532928,-0.002246209042430013
CNT_FAM_MEMBERS,0.03425595833649713,0.06453597508600539,0.075787127443862,0.06281423807050054,0.04804665349944364,0.05488572536893884,0.8785713678490931,1.0,-0.2858272580100626,-0.03153905349073451,0.027872183118263744,-0.023424889966793365,-0.0005777209724561449,-0.026821156688042764,0.023526163657788077,-0.00404628818542457
YEARS_BIRTH,-0.06260435180278293,0.04737869327048073,-0.012262457549857587,0.04456567486022988,0.11865521172959147,0.08559966820409332,-0.3369678460796084,-0.2858272580100626,1.0,0.3526619417723918,-0.002336184136749579,0.025242716157013796,0.07816165752728696,0.1972749596718025,-0.007723446909643493,0.0030590760328782713
YEARS_EMPLOYED,0.03010409732420654,0.08750399034231442,0.05247034369787373,0.08864400438538143,0.06931031269167912,0.0255837060963435,-0.06305236490422315,-0.03153905349073451,0.3526619417723918,1.0,0.017394662585685745,-0.008656547526954295,0.08155913656895038,0.1214127138971548,0.0007744809748377878,-0.007446990904984539
