,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,CNT_CHILDREN,CNT_FAM_MEMBERS,YEARS_BIRTH,YEARS_EMPLOYED,REGION_RATING_CLIENT,REGION_POPULATION_RELATIVE,EXT_SOURCE_2,EXT_SOURCE_3,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE
AMT_INCOME_TOTAL,1.0,0.03813143463007386,0.046421056510901545,0.037583081516853155,-0.04385326092908815,-0.060042572584722995,0.00479578732616832,0.006653676710483447,-0.0030756484347067496,8.748000579425615e-06,-0.02148625710769417,0.009134586051137239,0.007153667151015187,-0.01510990043670012,-0.0047094456578683115,-0.005186103925513131
AMT_CREDIT,0.03813143463007386,1.0,0.7521947353758889,0.9831025194064275,0.6437359274616309,0.3674531392000507,-0.0016749611094153205,0.05122364029333943,0.1353355472788468,0.10601743569113392,-0.059192754199665874,0.06916108696470646,0.12084781781606047,0.07769846725875708,0.01909841984964286,-0.025979081482790083
AMT_ANNUITY,0.046421056510901545,0.7521947353758889,1.0,0.7526991956820865,0.3833800365347812,0.4853046631014034,0.03125711917547507,0.07571147615797855,0.014323863072287021,0.049071707417877794,-0.07378373454868317,0.07169024996359899,0.11630461393764187,0.04141520544107927,0.004463237639545327,-0.022393526389345098
AMT_GOODS_PRICE,0.037583081516853155,0.9831025194064275,0.7526991956820865,1.0,0.627313044726599,0.3637646343793276,-0.008111698506538078,0.04738796962460063,0.13583169607070955,0.11195392807853971,-0.06638988030382044,0.07604892954034641,0.1311843227724959,0.07875352097525777,0.019920968442050505,-0.021782500504569053
CREDIT_INCOME_RATIO,-0.04385326092908815,0.6437359274616309,0.3833800365347812,0.627313044726599,1.0,0.7976565254901338,0.0031893713484606825,0.05580442255357997,0.1592323576203814,0.09682159958102479,0.06757103218108017,-0.013568190274940023,0.00987674509324802,0.1249666825061857,0.022179404128420125,-0.00817415063035416
ANNUITY_INCOME_RATIO,-0.060042572584722995,0.3674531392000507,0.4853046631014034,0.3637646343793276,0.7976565254901338,1.0,0.035622658113037345,0.0809855364108714,0.05048501606722065,0.03266809617943766,0.09556690287621122,-0.041082951195428714,-0.02648430576778403,0.10533199001718492,0.011021564760158583,-0.001838051450560638
CNT_CHILDREN,0.00479578732616832,-0.0016749611094153205,0.03125711917547507,-0.008111698506538078,0.0031893713484606825,0.035622658113037345,1.0,0.8854837134847883,-0.2591035474042336,-0.032660712546073944,0.04068048169632397,-0.031974899842123546,-0.012259554294541087,-0.020267654595591975,0.025803880854278437,0.0014477729796519472
CNT_FAM_MEMBERS,0.006653676710483447,0.05122364029333943,0.07571147615797855,0.04738796962460063,0.05580442255357997,0.0809855364108714,0.8854837134847883,1.0,-0.20325101520324632,0.001594976963158516,0.04365164565003772,-0.03016274589535506,0.001883498172854496,-0.01988353792312985,0.04398304634640829,0.007098030176233554
YEARS_BIRTH,-0.0030756484347067496,0.1353355472788468,0.014323863072287021,0.13583169607070955,0.1592323576203814,0.05048501606722065,-0.2591035474042336,-0.20325101520324632,1.0,0.3070191398833358,-0.03393376511597768,0.048197604390321655,0.10865153976282164,0.17163691077886148,0.005139870397161801,-0.004958446786076902
YEARS_EMPLOYED,8.748000579425615e-06,0.10601743569113392,0.049071707417877794,0.11195392807853971,0.09682159958102479,0.03266809617943766,-0.032660712546073944,0.001594976963158516,0.3070191398833358,1.0,-0.006817872439632769,0.015697507335170943,0.0943003914914744,0.08548086664442844,0.030872114287165468,-0.0005497400276645272
REGION_RATING_CLIENT,-0.02148625710769417,-0.059192754199665874,-0.07378373454868317,-0.06638988030382044,0.06757103218108017,0.09556690287621122,0.04068048169632397,0.04365164565003772,-0.03393376511597768,-0.006817872439632769,1.0,-0.44323550926348376,-0.2505189070318071,0.01094860049783535,0.030264583198861144,0.007169605283545151
REGION_POPULATION_RELATIVE,0.009134586051137239,0.06916108696470646,0.07169024996359899,0.07604892954034641,-0.013568190274940023,-0.041082951195428714,-0.031974899842123546,-0.03016274589535506,0.048197604390321655,0.015697507335170943,-0.44323550926348376,1.0,0.16975100963882633,-0.00980952455475145,0.006224361425735308,0.025864676428626342
EXT_SOURCE_2,0.007153667151015187,0.12084781781606047,0.11630461393764187,0.1311843227724959,0.00987674509324802,-0.02648430576778403,-0.012259554294541087,0.001883498172854496,0.10865153976282164,0.0943003914914744,-0.2505189070318071,0.16975100963882633,1.0,0.07776025462299167,0.017505326324738682,-0.01005191872195135
EXT_SOURCE_3,-0.01510990043670012,0.07769846725875708,0.04141520544107927,0.07875352097525777,0.1249666825061857,0.10533199001718492,-0.020267654595591975,-0.01988353792312985,0.17163691077886148,0.08548086664442844,0.01094860049783535,-0.00980952455475145,0.07776025462299167,1.0,-0.005613837678546227,-0.022253110080052412
OBS_30_CNT_SOCIAL_CIRCLE,-0.0047094456578683115,0.01909841984964286,0.004463237639545327,0.019920968442050505,0.022179404128420125,0.011021564760158583,0.025803880854278437,0.04398304634640829,0.005139870397161801,0.030872114287165468,0.030264583198861144,0.006224361425735308,0.017505326324738682,-0.005613837678546227,1.0,0.333825269491101
DEF_30_CNT_SOCIAL_CIRCLE,-0.005186103925513131,-0.025979081482790083,-0.022393526389345098,-0.021782500504569053,-0.00817415063035416,-0.001838051450560638,0.0014477729796519472,0.007098030176233554,-0.004958446786076902,-0.0005497400276645272,0.007169605283545151,0.025864676428626342,-0.01005191872195135,-0.022253110080052412,0.333825269491101,1.0
